total_size_KB,cacheline_bits,num_entries,data_array_area_mm2,read_energy_pJ,write_energy_pJ,read_energy_pJ_per_bit,write_energy_pJ_per_bit,access_time_ns,leakage_mW
32,32,8192,0.0271188,3.41169,2.83978,0.1066153125,0.088743125,0.25453,5.39817
32,64,4096,0.0297286,4.99272,4.94836,0.07801125,0.077318125,0.255175,5.41403
32,128,2048,0.0355655,8.4951,9.50585,0.06636796875,0.074264453125,0.259169,5.49266
32,256,1024,0.0578034,15.9516,16.707,0.0623109375,0.06526171875,0.242877,5.5321
32,512,512,0.103915,35.056,37.921499999999995,0.06846875,0.07406542968749999,0.258685,6.19934
32,1024,256,0.09469,60.7206,75.4033,0.0592974609375,0.07363603515625,0.248737,6.14348
64,32,16384,0.0561328,4.82062,4.24871,0.150644375,0.1327721875,0.329677,10.7963
64,64,8192,0.0627905,7.44855,7.4041999999999994,0.11638359375,0.11569062499999999,0.332836,10.8281
64,128,4096,0.0778039,13.429699999999999,14.4405,0.10491953124999999,0.11281640625,0.342392,10.9853
64,256,2048,0.122742,27.5096,28.264999999999997,0.107459375,0.11041015624999999,0.338851,11.0642
64,512,1024,0.147762,44.9786,51.2206,0.087848828125,0.100040234375,0.316546,10.945
64,1024,512,0.115887,62.5053,92.38159999999999,0.06104033203125,0.09021640624999999,0.308519,10.8699
128,32,32768,0.109593,6.859,6.28709,0.21434375,0.1964715625,0.423599,21.5927
128,64,16384,0.120024,10.8947,10.8504,0.1702296875,0.1695375,0.428917,21.6561
128,128,8192,0.136151,21.0516,23.0731,0.164465625,0.18025859375,0.439779,21.6561
128,256,4096,0.198378,42.406,43.916700000000006,0.1656484375,0.17154960937500002,0.443421,20.8106
128,512,2048,0.240292,80.60470000000001,93.0886,0.15743105468750002,0.181813671875,0.44331,20.5555
128,1024,1024,0.315303,143.201,173.077,0.1398447265625,0.1690205078125,0.458516,21.7399
